"Query","Match","HMDB","PubChem","KEGG","Comment","pathway"
"Oxaloacetate","Oxalacetic acid","HMDB0000223","970","C00036","1","Alanine Metabolism"
"Arachidonic acid","Arachidonic acid","HMDB0001043","444899","C00219","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"Tetracosahexaenoic acid","Tetracosahexaenoic acid","HMDB0002007","11792612","","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"N-Acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","C19910","1","Amino Sugar Metabolism"
"Asparagine","L-Asparagine","HMDB0000168","6267","C00152","1","Ammonia Recycling"
"Glutamine","L-Glutamine","HMDB0000641","5961","C00064","1","Ammonia Recycling"
"Androstenedione","Androstenedione","HMDB0000053","6128","C00280","1","Androgen and Estrogen Metabolism"
"4-Hydroxy-2-oxoglutaric acid","4-Hydroxy-2-oxoglutaric acid","HMDB0002070","599","C01127","1","Arginine and Proline Metabolism"
"Urea","Urea","HMDB0000294","1176","C00086","1","Arginine and Proline Metabolism"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","C03564","1","Arginine and Proline Metabolism"
"Citrulline","Citrulline","HMDB0000904","9750","C00327","1","Arginine and Proline Metabolism"
"Caproic acid","Caproic acid","HMDB0000535","8892","C01585","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Dodecanoic acid","Dodecanoic acid","HMDB0000638","3893","C02679","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Aspartate","L-Aspartic acid","HMDB0000191","5960","C00049","1","Beta-Alanine Metabolism"
"Uracil","Uracil","HMDB0000300","1174","C00106","1","Beta-Alanine Metabolism"
"Carnosine","Carnosine","HMDB0000033","439224","C00386","1","Beta-Alanine Metabolism"
"Beta-alanine","Beta-Alanine","HMDB0000056","239","C00099","1","Beta-Alanine Metabolism"
"Deoxycholic acid","Deoxycholic acid","HMDB0000626","222528","C04483","1","Bile Acid Biosynthesis"
"5-Acetylamino-6-formylamino-3-methyluracil","5-Acetylamino-6-formylamino-3-methyluracil","HMDB0011105","108214","","1","Caffeine Metabolism"
"Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","210328","C00425","1","Catecholamine Biosynthesis"
"Succinate","Succinic acid","HMDB0000254","1110","C00042","1","Citric Acid Cycle"
"Citric acid","Citric acid","HMDB0000094","311","C00158","1","Citric Acid Cycle"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000357","441","C01089","1","Fatty Acid Biosynthesis"
"Myristic acid","Myristic acid","HMDB0000806","11005","C06424","1","Fatty Acid Biosynthesis"
"D-Fructose","D-Fructose","HMDB0000660","439709","C02336","1","Galactose Metabolism"
"5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","1","Glutathione Metabolism"
"Hexadecanoic acid","Palmitic acid","HMDB0000220","985","C00249","1","Glycerolipid Metabolism"
"Glycerol","Glycerol","HMDB0000131","753","C00116","1","Glycerolipid Metabolism"
"Glyceraldehyde","Glyceraldehyde","HMDB0001051","751","C02154","1","Glycerolipid Metabolism"
"Glyoxylic acid","Glyoxylic acid","HMDB0000119","760","C00048","1","Glycine and Serine Metabolism"
"Pyruvate","Pyruvic acid","HMDB0000243","1060","C00022","1","Glycine and Serine Metabolism"
"Aminoacetone","Aminoacetone","HMDB0002134","215","C01888","1","Glycine and Serine Metabolism"
"L-methionine","L-Methionine","HMDB0000696","6137","C00073","1","Glycine and Serine Metabolism"
"Threonine","L-Threonine","HMDB0000167","6288","C00188","1","Glycine and Serine Metabolism"
"Glycine","Glycine","HMDB0000123","750","C00037","1","Glycine and Serine Metabolism"
"Cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","1","Glycine and Serine Metabolism"
"Phosphoserine","Phosphoserine","HMDB0000272","68841","C01005","1","Glycine and Serine Metabolism"
"Ornithine","Ornithine","HMDB0000214","6262","C00077","1","Glycine and Serine Metabolism"
"Arginine","L-Arginine","HMDB0000517","6322","C00062","1","Glycine and Serine Metabolism"
"Guanidineacetic acid","Guanidoacetic acid","HMDB0000128","763","C00581","1","Glycine and Serine Metabolism"
"Serine","L-Serine","HMDB0000187","5951","C00065","1","Glycine and Serine Metabolism"
"sarcosine","Sarcosine","HMDB0000271","1088","C00213","1","Glycine and Serine Metabolism"
"L-Ornithine","Ornithine","HMDB0000214","6262","C00077","1","Glycine and Serine Metabolism"
"Creatine","Creatine","HMDB0000064","586","C00300","1","Glycine and Serine Metabolism"
"Myo-Inositol","Myoinositol","HMDB0000211",NA,"C00137","1","Inositol Metabolism"
"D-Glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","C00191","1","Inositol Metabolism"
"a-Aminoadipic acid","Aminoadipic acid","HMDB0000510","469","C00956","1","Lysine Degradation"
"L-Homoserine","L-Homoserine","HMDB0000719","12647","C00263","1","Methionine Metabolism"
"Stearoylcarnitine","Stearoylcarnitine","HMDB0000848","6426855","","1","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids"
"Octanoic acid","L-Octanoylcarnitine","HMDB0000791","11953814","C02838","1","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids"
"Octanoylcarnitine","L-Octanoylcarnitine","HMDB0000791","11953814","C02838","1","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids"
"Nicotinic acid","Nicotinic acid","HMDB0001488","938","C00253","1","Nicotinate and Nicotinamide Metabolism"
"Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","1","Nucleotide Sugars Metabolism"
"d-Galactose","D-Galactose","HMDB0000143","439357","C00124","1","Nucleotide Sugars Metabolism"
"Propionylcarnitine","Propionylcarnitine","HMDB0000824","107738","C03017","1","Oxidation of Branched Chain Fatty Acids"
"4,8 dimethylnonanoyl carnitine","4,8 Dimethylnonanoyl carnitine","HMDB0006202","53477801","","1","Oxidation of Branched Chain Fatty Acids"
"Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","1","C02571","1","Oxidation of Branched Chain Fatty Acids"
"6-Phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","C00345","1","Pentose Phosphate Pathway"
"Glyceraldehyde 3-phosphate","D-Glyceraldehyde 3-phosphate","HMDB0001112","3418","C00118","1","Pentose Phosphate Pathway"
